id	title	description	link	image_link	availability	price	brand	condition
PCL001	Round-Neck T-Shirt - Panchsheel Custom Lab	Custom printed round-neck t-shirt. Personalise with your personal photos, designs, or school/corporate logo using premium sublimation or DTF printing. Available in sizes S to 5XL in high-quality cotton.	https://panchsheelcustomlab.com/products#apparel	https://panchsheelcustomlab.com/assets/img/custom_tshirt.webp	in_stock	149 INR	Panchsheel Custom Lab	new
PCL002	Polo T-Shirt - Panchsheel Custom Lab	Premium cotton collar polo t-shirt custom printed or embroidered with your company name, logo, or design. Excellent for corporate uniforms, events, and personal gifts.	https://panchsheelcustomlab.com/products#apparel	https://panchsheelcustomlab.com/assets/img/custom_polo.webp	in_stock	249 INR	Panchsheel Custom Lab	new
PCL003	Hoodie / Sweatshirt - Panchsheel Custom Lab	Warm unisex fleece hoodie/sweatshirt custom printed with your designs or quotes. Perfect for winter customization, group orders, and personal gifts.	https://panchsheelcustomlab.com/products#apparel	https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=700&h=700&fit=crop&q=80	in_stock	649 INR	Panchsheel Custom Lab	new
PCL004	School Dress / Jersey - Panchsheel Custom Lab	Customised school dress, uniforms, and sports jerseys printed with class-wise or school logos. Breathable fabric suitable for daily wear. Bulk orders welcome.	https://panchsheelcustomlab.com/products#apparel	https://panchsheelcustomlab.com/assets/img/custom_school_dress.webp	in_stock	199 INR	Panchsheel Custom Lab	new
PCL005	White Photo Mug - Panchsheel Custom Lab	330ml premium ceramic water/coffee photo mug. Personalise with your favorite memories, family photos, or custom quotes. Beautiful high-definition printing.	https://panchsheelcustomlab.com/products#drinkware	https://panchsheelcustomlab.com/assets/img/custom_mug.webp	in_stock	129 INR	Panchsheel Custom Lab	new
PCL006	Magic Color Mug - Panchsheel Custom Lab	Fascinating heat-reveal magic mug. The mug appears black when cold and beautifully reveals your hidden custom photo or quote when filled with hot coffee or tea.	https://panchsheelcustomlab.com/products#drinkware	https://panchsheelcustomlab.com/assets/img/custom_magic_mug.webp	in_stock	199 INR	Panchsheel Custom Lab	new
PCL007	Steel Sipper Bottle - Panchsheel Custom Lab	750ml insulated stainless steel sipper water bottle. Perfect for gym, office, or travel. Custom print with your name or custom designs in HD.	https://panchsheelcustomlab.com/products#drinkware	https://panchsheelcustomlab.com/assets/img/custom_bottle.webp	in_stock	249 INR	Panchsheel Custom Lab	new
PCL008	Kids Water Bottle - Panchsheel Custom Lab	500ml lightweight leakproof kids water bottle. Ideal for school children. Personalise with kid's name, favorite cartoons, or school theme.	https://panchsheelcustomlab.com/products#drinkware	https://panchsheelcustomlab.com/assets/img/custom_kids_bottle.webp	in_stock	199 INR	Panchsheel Custom Lab	new
PCL009	Photo Pillow / Cushion - Panchsheel Custom Lab	12x12 inch custom printed photo pillow cushion. Includes premium soft fiber filler and HD printed cover. A warm home decor addition or anniversary gift.	https://panchsheelcustomlab.com/products#home	https://panchsheelcustomlab.com/assets/img/custom_pillow.webp	in_stock	249 INR	Panchsheel Custom Lab	new
PCL010	MDF Photo Frame - Panchsheel Custom Lab	Durable A4 size MDF wooden photo frame custom printed with your photos. Features premium wooden backing and table/wall mounting support.	https://panchsheelcustomlab.com/products#home	https://panchsheelcustomlab.com/assets/img/custom_frame.webp	in_stock	199 INR	Panchsheel Custom Lab	new
PCL011	LED Light Frame - Panchsheel Custom Lab	Premium acrylic custom photo frame with embedded warm LED lights. Light up your special moments with a glowing photo display.	https://panchsheelcustomlab.com/products#home	https://panchsheelcustomlab.com/assets/img/custom_led_frame.webp	in_stock	499 INR	Panchsheel Custom Lab	new
PCL012	Photo Tile - Panchsheel Custom Lab	8x8 inch glossy ceramic photo tile. Features vibrant HD printing on a ceramic surface with support stand included. Perfect for desk decoration.	https://panchsheelcustomlab.com/products#home	https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=700&h=700&fit=crop&q=80	in_stock	299 INR	Panchsheel Custom Lab	new
PCL013	Photo Keychain - Panchsheel Custom Lab	Strong acrylic custom keychain with double-sided photo or logo print. Keep your keys organized with a miniature photo print.	https://panchsheelcustomlab.com/products#gifts	https://panchsheelcustomlab.com/assets/img/custom_keychain.webp	in_stock	49 INR	Panchsheel Custom Lab	new
PCL014	Gift Hamper - Panchsheel Custom Lab	Beautifully curated gift hamper corporate kit or wedding return gifts. Customized mix of mugs, keychains, and diaries packed in premium boxes.	https://panchsheelcustomlab.com/products#gifts	https://images.unsplash.com/photo-1513201099705-a9746e1e201f?w=700&h=700&fit=crop&q=80	in_stock	499 INR	Panchsheel Custom Lab	new
PCL015	Custom Cap - Panchsheel Custom Lab	High-quality adjustable cap personalized with your text, logo, or design via printing or embroidery. Ideal for events, sports teams, and marketing promotions.	https://panchsheelcustomlab.com/products#gifts	https://panchsheelcustomlab.com/assets/img/custom_cap.webp	in_stock	199 INR	Panchsheel Custom Lab	new
PCL016	Mouse Pad - Panchsheel Custom Lab	Full-print custom mouse pad with anti-slip rubber grip base. Customize with your gaming designs, office layouts, or photos in vivid detail.	https://panchsheelcustomlab.com/products#gifts	https://panchsheelcustomlab.com/assets/img/custom_mousepad.webp	in_stock	149 INR	Panchsheel Custom Lab	new
